channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
-507402,-385826,1088683,-8388608,-8348439,-8388608,-8388608,-7808547,1405293718.602,0
-802944,-594611,25192,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.607,0
-527846,-399417,857490,-8388608,-8388608,-8388608,-8388608,-7931392,1405293718.614,0
-562822,-428787,1463381,-8388608,-8273189,-8388608,-8388608,-7757912,1405293718.622,0
-749819,-553223,-384855,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.63,0
-532451,-407409,1511571,-8388608,-8215651,-8388608,-8388608,-7696371,1405293718.635,0
-778729,-573829,-424107,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.642,0
8133696,-195017,-7642839,4194304,4291311,4194304,4194304,4551800,1405293718.65,0
-714186,-534871,773113,-8388608,-8388608,-8388608,-8388608,-8230904,1405293718.655,0
-620946,-463422,160966,-8388608,-8388608,-8388608,-8388608,-8345637,1405293718.664,0
-675081,-507564,1003249,-8388608,-8388608,-8388608,-8388608,-8101683,1405293718.671,0
-812467,-599086,-311097,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.678,0
-498856,-380861,1252898,-8388608,-8277946,-8388608,-8388608,-7757560,1405293718.684,0
-812582,-600289,-154404,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.692,0
-510839,-388590,1055411,-8388608,-8371043,-8388608,-8388608,-7856307,1405293718.7,0
-800792,-592799,53273,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.704,0
-721444,-532229,-306000,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.712,0
-560036,-427249,1468022,-8388608,-8275861,-8388608,-8388608,-7780424,1405293718.72,0
-753952,-555810,-388936,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.728,0
-529952,-405919,1509978,-8388608,-8222587,-8388608,-8388608,-7724176,1405293718.733,0
-746280,-556904,552926,-8388608,-8388608,-8388608,-8388608,-8371113,1405293718.741,0
-592040,-443730,352613,-8388608,-8388608,-8388608,-8388608,-8261067,1405293718.749,0
-709489,-531227,804211,-8388608,-8388608,-8388608,-8388608,-8242036,1405293718.754,0
-625010,-466166,140399,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.761,0
-497456,-380796,1389713,-8388608,-8230493,-8388608,-8388608,-7731796,1405293718.769,0
-813282,-599889,-289294,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.777,0
-499287,-381786,1232153,-8388608,-8296120,-8388608,-8388608,-7800057,1405293718.783,0
-812351,-600175,-128452,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.79,0
-691761,-512059,-197982,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.798,0
-590353,-448770,1380866,-8388608,-8354355,-8388608,-8388608,-7885721,1405293718.803,0
-725835,-535684,-317641,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.81,0
-555027,-424142,1475873,-8388608,-8277778,-8388608,-8388608,-7802557,1405293718.819,0
-774612,-576363,328236,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.826,0
-563169,-424613,556048,-8388608,-8388608,-8388608,-8388608,-8169892,1405293718.832,0
-742372,-554107,586596,-8388608,-8388608,-8388608,-8388608,-8378914,1405293718.839,0
-594915,-445736,325741,-8388608,-8388608,-8388608,-8388608,-8308481,1405293718.847,0
-704648,-528843,837173,-8388608,-8388608,-8388608,-8388608,-8250739,1405293718.854,0
-805782,-594262,-377350,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.86,0
-496378,-380564,1373559,-8388608,-8245123,-8388608,-8388608,-7767992,1405293718.868,0
-815893,-601812,-270200,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.875,0
-499632,-381986,1208433,-8388608,-8314635,-8388608,-8388608,-7841316,1405293718.883,0
-624514,-472649,1251808,-8388608,-8388608,-8388608,-8388608,-8006279,1405293718.888,0
-695477,-514514,-213247,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.896,0
-585719,-446145,1395644,-8388608,-8353424,-8388608,-8388608,-7902964,1405293718.904,0
-730182,-539864,-327494,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.912,0
-551065,-420896,1485133,-8388608,-8278418,-8388608,-8388608,-7822577,1405293718.917,0
-772091,-574796,363841,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.925,0
-567405,-427457,527075,-8388608,-8388608,-8388608,-8388608,-8216809,1405293718.933,0
-738816,-552104,621390,-8388608,-8388608,-8388608,-8388608,-8385132,1405293718.938,0
-599308,-448745,300187,-8388608,-8388608,-8388608,-8388608,-8352639,1405293718.946,0
-503636,-386216,1466718,-8388608,-8225569,-8388608,-8388608,-7768053,1405293718.954,0
-807706,-596164,-363023,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.962,0
-496724,-380503,1354758,-8388608,-8261155,-8388608,-8388608,-7805086,1405293718.967,0
-815924,-603271,-247629,-8388608,-8388608,-8388608,-8388608,-8388608,1405293718.974,0
-501061,-382473,1183024,-8388608,-8334143,-8388608,-8388608,-7883143,1405293718.982,0
-619268,-469034,1274507,-8388608,-8388608,-8388608,-8388608,-8019297,1405293718.99,0
-699159,-517190,-224639,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.001,0
-579575,-440756,1412125,-8388608,-8351179,-8388608,-8388608,-7918489,1405293719.004,0
-732745,-541405,-331644,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.011,0
-545084,-415577,1490269,-8388608,-8280589,-8388608,-8388608,-7842440,1405293719.018,0
-763296,-567324,410101,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.023,0
-570368,-428539,491713,-8388608,-8388608,-8388608,-8388608,-8261631,1405293719.033,0
-722541,-539683,690533,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.04,0
-611756,-456609,227431,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.045,0
-515628,-395411,1376119,-8388608,-8304434,-8388608,-8388608,-7864069,1405293719.052,0
-791118,-580266,-272937,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.06,0
-512689,-393416,1246125,-8388608,-8344119,-8388608,-8388608,-7905341,1405293719.068,0
-796416,-585673,-141311,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.074,0
-520772,-397676,1065888,-8388608,-8388608,-8388608,-8388608,-7981118,1405293719.082,0
-612890,-465504,1292159,-8388608,-8388608,-8388608,-8388608,-8063449,1405293719.089,0
-704548,-520076,-236990,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.096,0
-580579,-443370,1398230,-8388608,-8388608,-8388608,-8388608,-7979545,1405293719.102,0
-733714,-539672,-318506,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.109,0
-560244,-422918,628873,-8388608,-8388608,-8388608,-8388608,-8196115,1405293719.118,0
-758073,-565459,466454,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.125,0
-574870,-432071,516727,-8388608,-8388608,-8388608,-8388608,-8283282,1405293719.131,0
-725209,-542634,704979,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.138,0
-606697,-453429,261066,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.146,0
-505124,-387029,1413991,-8388608,-8259829,-8388608,-8388608,-7833729,1405293719.153,0
-809899,-597662,-345963,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.159,0
-497973,-381051,1298274,-8388608,-8293127,-8388608,-8388608,-7872799,1405293719.167,0
-815886,-603396,-213152,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.174,0
-677111,-502638,-130742,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.182,0
-609494,-462446,1303879,-8388608,-8388608,-8388608,-8388608,-8036547,1405293719.187,0
-710451,-525881,-265736,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.195,0
-569913,-434657,1439801,-8388608,-8344327,-8388608,-8388608,-7940730,1405293719.203,0
-743486,-548962,-352785,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.211,0
-548803,-414507,674466,-8388608,-8388608,-8388608,-8388608,-8201462,1405293719.216,0
-758997,-565336,466520,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.224,0
-579536,-435303,439067,-8388608,-8388608,-8388608,-8388608,-8337398,1405293719.232,0
-723494,-541248,719258,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.237,0
-797541,-587893,-398214,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.245,0
-498262,-382127,1427699,-8388608,-8253646,-8388608,-8388608,-7845367,1405293719.253,0
-813134,-600491,-326975,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.26,0
-496517,-380138,1291406,-8388608,-8302386,-8388608,-8388608,-7896749,1405293719.266,0
-817499,-603891,-189735,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.273,0
-681391,-505818,-141179,-8388608,-8388608,-8388608,-8388608,-8388608,1405293719.281,0
